model,axis,level_i,level_j,p_value,significant_p05
Gemma 2 2B,Political Order,1,1,,NO
Gemma 2 2B,Political Order,1,2,0.0695,NO
Gemma 2 2B,Political Order,1,3,0.0966,NO
Gemma 2 2B,Political Order,1,4,0.9398,NO
Gemma 2 2B,Political Order,2,1,0.0695,NO
Gemma 2 2B,Political Order,2,2,,NO
Gemma 2 2B,Political Order,2,3,0.7022,NO
Gemma 2 2B,Political Order,2,4,0.056,NO
Gemma 2 2B,Political Order,3,1,0.0966,NO
Gemma 2 2B,Political Order,3,2,0.7022,NO
Gemma 2 2B,Political Order,3,3,,NO
Gemma 2 2B,Political Order,3,4,0.0774,NO
Gemma 2 2B,Political Order,4,1,0.9398,NO
Gemma 2 2B,Political Order,4,2,0.056,NO
Gemma 2 2B,Political Order,4,3,0.0774,NO
Gemma 2 2B,Political Order,4,4,,NO
Gemma 2 2B,Social Orientation,1,1,,NO
Gemma 2 2B,Social Orientation,1,2,0.0642,NO
Gemma 2 2B,Social Orientation,1,3,0.1833,NO
Gemma 2 2B,Social Orientation,1,4,0.2003,NO
Gemma 2 2B,Social Orientation,1,5,0.8198,NO
Gemma 2 2B,Social Orientation,2,1,0.0642,NO
Gemma 2 2B,Social Orientation,2,2,,NO
Gemma 2 2B,Social Orientation,2,3,0.4758,NO
Gemma 2 2B,Social Orientation,2,4,0.3758,NO
Gemma 2 2B,Social Orientation,2,5,0.089,NO
Gemma 2 2B,Social Orientation,3,1,0.1833,NO
Gemma 2 2B,Social Orientation,3,2,0.4758,NO
Gemma 2 2B,Social Orientation,3,3,,NO
Gemma 2 2B,Social Orientation,3,4,0.8838,NO
Gemma 2 2B,Social Orientation,3,5,0.2045,NO
Gemma 2 2B,Social Orientation,4,1,0.2003,NO
Gemma 2 2B,Social Orientation,4,2,0.3758,NO
Gemma 2 2B,Social Orientation,4,3,0.8838,NO
Gemma 2 2B,Social Orientation,4,4,,NO
Gemma 2 2B,Social Orientation,4,5,0.2133,NO
Gemma 2 2B,Social Orientation,5,1,0.8198,NO
Gemma 2 2B,Social Orientation,5,2,0.089,NO
Gemma 2 2B,Social Orientation,5,3,0.2045,NO
Gemma 2 2B,Social Orientation,5,4,0.2133,NO
Gemma 2 2B,Social Orientation,5,5,,NO
Gemma 2 2B,Temporal Orientation,1,1,,NO
Gemma 2 2B,Temporal Orientation,1,2,0.9493,NO
Gemma 2 2B,Temporal Orientation,1,3,0.4958,NO
Gemma 2 2B,Temporal Orientation,1,4,0.5766,NO
Gemma 2 2B,Temporal Orientation,1,5,0.5492,NO
Gemma 2 2B,Temporal Orientation,2,1,0.9493,NO
Gemma 2 2B,Temporal Orientation,2,2,,NO
Gemma 2 2B,Temporal Orientation,2,3,0.3268,NO
Gemma 2 2B,Temporal Orientation,2,4,0.4203,NO
Gemma 2 2B,Temporal Orientation,2,5,0.5257,NO
Gemma 2 2B,Temporal Orientation,3,1,0.4958,NO
Gemma 2 2B,Temporal Orientation,3,2,0.3268,NO
Gemma 2 2B,Temporal Orientation,3,3,,NO
Gemma 2 2B,Temporal Orientation,3,4,0.8407,NO
Gemma 2 2B,Temporal Orientation,3,5,0.1505,NO
Gemma 2 2B,Temporal Orientation,4,1,0.5766,NO
Gemma 2 2B,Temporal Orientation,4,2,0.4203,NO
Gemma 2 2B,Temporal Orientation,4,3,0.8407,NO
Gemma 2 2B,Temporal Orientation,4,4,,NO
Gemma 2 2B,Temporal Orientation,4,5,0.1842,NO
Gemma 2 2B,Temporal Orientation,5,1,0.5492,NO
Gemma 2 2B,Temporal Orientation,5,2,0.5257,NO
Gemma 2 2B,Temporal Orientation,5,3,0.1505,NO
Gemma 2 2B,Temporal Orientation,5,4,0.1842,NO
Gemma 2 2B,Temporal Orientation,5,5,,NO
Qwen 2.5 3B,Political Order,1,1,,NO
Qwen 2.5 3B,Political Order,1,2,0.491,NO
Qwen 2.5 3B,Political Order,1,3,0.4914,NO
Qwen 2.5 3B,Political Order,1,4,0.7823,NO
Qwen 2.5 3B,Political Order,2,1,0.491,NO
Qwen 2.5 3B,Political Order,2,2,,NO
Qwen 2.5 3B,Political Order,2,3,0.9636,NO
Qwen 2.5 3B,Political Order,2,4,0.2998,NO
Qwen 2.5 3B,Political Order,3,1,0.4914,NO
Qwen 2.5 3B,Political Order,3,2,0.9636,NO
Qwen 2.5 3B,Political Order,3,3,,NO
Qwen 2.5 3B,Political Order,3,4,0.2918,NO
