model,axis,axis_level,avg_polarity,count
gemma,Political Order,1,0.33,100
gemma,Political Order,2,0.2571,140
gemma,Political Order,4,0.2917,120
gemma,Political Order,5,0.3,20
gemma,Social Orientation,1,0.25,40
gemma,Social Orientation,2,0.375,80
gemma,Social Orientation,3,0.25,80
gemma,Social Orientation,4,0.275,160
gemma,Social Orientation,5,0.3,20
gemma,Temporal Orientation,1,0.3,160
gemma,Temporal Orientation,2,0.3,40
gemma,Temporal Orientation,3,0.2,20
gemma,Temporal Orientation,4,0.275,40
gemma,Temporal Orientation,5,0.2917,120
qwen,Political Order,1,-0.25,100
qwen,Political Order,2,-0.2571,140
qwen,Political Order,4,-0.1667,120
qwen,Political Order,5,-0.2,20
qwen,Social Orientation,1,-0.05,40
qwen,Social Orientation,2,-0.3125,80
qwen,Social Orientation,3,-0.2375,80
qwen,Social Orientation,4,-0.2188,160
qwen,Social Orientation,5,-0.2,20
qwen,Temporal Orientation,1,-0.2375,160
qwen,Temporal Orientation,2,-0.2,40
qwen,Temporal Orientation,3,-0.15,20
qwen,Temporal Orientation,4,-0.25,40
qwen,Temporal Orientation,5,-0.2167,120
llama,Political Order,1,-0.0108,93
llama,Political Order,2,0.0154,130
llama,Political Order,4,-0.0734,109
llama,Political Order,5,0.35,20
llama,Social Orientation,1,0.2571,35
llama,Social Orientation,2,-0.1316,76
llama,Social Orientation,3,-0.0405,74
llama,Social Orientation,4,-0.0204,147
llama,Social Orientation,5,0.35,20
llama,Temporal Orientation,1,-0.0612,147
llama,Temporal Orientation,2,0.1316,38
llama,Temporal Orientation,3,0.0526,19
llama,Temporal Orientation,4,0.275,40
llama,Temporal Orientation,5,-0.0741,108
