model,axis,axis_level,avg_polarity,count
gemma,Political Order,1,0.1,40
gemma,Political Order,2,0.125,80
gemma,Political Order,4,0.1625,80
gemma,Political Order,5,0.05,20
gemma,Social Orientation,1,0.15,20
gemma,Social Orientation,2,0.125,40
gemma,Social Orientation,3,0.075,40
gemma,Social Orientation,4,0.16,100
gemma,Social Orientation,5,0.05,20
gemma,Temporal Orientation,1,0.1,60
gemma,Temporal Orientation,2,0.125,40
gemma,Temporal Orientation,3,0.25,20
gemma,Temporal Orientation,4,0.1,40
gemma,Temporal Orientation,5,0.1333,60
qwen,Political Order,1,-0.375,40
qwen,Political Order,2,-0.2625,80
qwen,Political Order,4,-0.1625,80
qwen,Political Order,5,-0.2,20
qwen,Social Orientation,1,-0.45,20
qwen,Social Orientation,2,-0.175,40
qwen,Social Orientation,3,-0.25,40
qwen,Social Orientation,4,-0.23,100
qwen,Social Orientation,5,-0.2,20
qwen,Temporal Orientation,1,-0.3167,60
qwen,Temporal Orientation,2,-0.175,40
qwen,Temporal Orientation,3,-0.15,20
qwen,Temporal Orientation,4,-0.2,40
qwen,Temporal Orientation,5,-0.2667,60
llama,Political Order,1,-0.4054,37
llama,Political Order,2,-0.0152,66
llama,Political Order,4,0.0811,74
llama,Political Order,5,0.3889,18
llama,Social Orientation,1,-0.1667,18
llama,Social Orientation,2,-0.2703,37
llama,Social Orientation,3,-0.0909,33
llama,Social Orientation,4,0.0674,89
llama,Social Orientation,5,0.3889,18
llama,Temporal Orientation,1,-0.3519,54
llama,Temporal Orientation,2,0.0882,34
llama,Temporal Orientation,3,0.2632,19
llama,Temporal Orientation,4,0.1714,35
llama,Temporal Orientation,5,0.0377,53
