,Alan Peter Cayetano,Antonio Trillanes,Benigno Aquino III,Chiz Escudero,Grace Poe,Jejomar Binay,Juan Ponce Enrile,Leni Robredo,Mar Roxas,Miriam Defensor Santiago,Rodrigo Duterte
Alan Peter Cayetano,100.0,58.4,89.4,85.6,83.2,39.2,26.5,96.4,87.4,86.8,-5.5
Antonio Trillanes,58.4,100.0,49.5,68.8,39.8,59.6,65.5,56.6,61.1,72.4,34.1
Benigno Aquino III,89.4,49.5,100.0,81.3,84.5,57.3,34.9,82.5,91.8,75.5,12.6
Chiz Escudero,85.6,68.8,81.3,100.0,75.1,55.3,39.3,81.8,86.4,76.7,14.3
Grace Poe,83.2,39.8,84.5,75.1,100.0,24.5,20.4,87.8,86.7,72.3,-11.0
Jejomar Binay,39.2,59.6,57.3,55.3,24.5,100.0,71.1,26.8,56.4,40.7,78.2
Juan Ponce Enrile,26.5,65.5,34.9,39.3,20.4,71.1,100.0,17.4,41.8,26.7,65.1
Leni Robredo,96.4,56.6,82.5,81.8,87.8,26.8,17.4,100.0,85.4,86.6,-15.9
Mar Roxas,87.4,61.1,91.8,86.4,86.7,56.4,41.8,85.4,100.0,79.9,8.0
Miriam Defensor Santiago,86.8,72.4,75.5,76.7,72.3,40.7,26.7,86.6,79.9,100.0,-3.5
Rodrigo Duterte,-5.5,34.1,12.6,14.3,-11.0,78.2,65.1,-15.9,8.0,-3.5,100.0
