,Alan Peter Cayetano,Antonio Trillanes,Benigno Aquino III,Chiz Escudero,Grace Poe,Jejomar Binay,Juan Ponce Enrile,Leni Robredo,Mar Roxas,Miriam Defensor Santiago,Rodrigo Duterte
Alan Peter Cayetano,100.0,81.8,69.5,68.6,86.0,88.2,94.4,92.5,92.9,93.3,82.6
Antonio Trillanes,81.8,100.0,79.3,84.9,72.0,72.7,88.6,70.3,81.5,79.1,94.8
Benigno Aquino III,69.5,79.3,100.0,90.5,60.9,64.9,66.8,73.3,69.4,73.6,88.4
Chiz Escudero,68.6,84.9,90.5,100.0,64.5,71.5,70.9,63.4,71.4,75.2,90.1
Grace Poe,86.0,72.0,60.9,64.5,100.0,96.8,83.6,86.0,88.7,90.2,77.1
Jejomar Binay,88.2,72.7,64.9,71.5,96.8,100.0,83.4,86.5,88.3,91.1,77.8
Juan Ponce Enrile,94.4,88.6,66.8,70.9,83.6,83.4,100.0,83.5,95.2,92.7,89.8
Leni Robredo,92.5,70.3,73.3,63.4,86.0,86.5,83.5,100.0,86.7,87.4,76.4
Mar Roxas,92.9,81.5,69.4,71.4,88.7,88.3,95.2,86.7,100.0,98.8,89.1
Miriam Defensor Santiago,93.3,79.1,73.6,75.2,90.2,91.1,92.7,87.4,98.8,100.0,88.6
Rodrigo Duterte,82.6,94.8,88.4,90.1,77.1,77.8,89.8,76.4,89.1,88.6,100.0
